"plainTextVote","trackerNumber"
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",10842041
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",24872700
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",76380060
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",17620258
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",76935056
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Wardlaw Michael] ",51027822
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Hargraves Rebecca] ",39534395
" Contest:[Private Practice Members Representatives][ Connell Roisin] ",38996553
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",62500348
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",41289966
" Contest:[Private Practice Members Representatives][ Connell Roisin] ",13179353
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Connell Roisin] ",96476868
" Contest:[Private Practice Members Representatives][ Canney Ciaran] ",27565966
" Contest:[Private Practice Members Representatives][ Scott Michelle] ",62908370
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Connell Roisin] ",78487245
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",81414636
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Hargraves Rebecca] ",23891910
" Contest:[Private Practice Members Representatives][ Canney Ciaran] ",20576739
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Scott Michelle] ",26830435
" Contest:[Private Practice Members Representatives][ Scott Michelle] ",24060932
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",19274494
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Wardlaw Michael] ",93535962
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Connell Roisin] ",20420229
" Contest:[Private Practice Members Representatives][ Canney Ciaran] ",54356413
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Connell Roisin] ",45234157
" Contest:[Private Practice Members Representatives][ Canney Ciaran] ",29087065
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Connell Roisin] ",34959673
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Connell Roisin] ",61465069
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] ",20997278
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",81098613
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Wardlaw Michael] ",32083077
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",84740939
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Connell Roisin] ",33832846
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Wardlaw Michael] ",21194556
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",42422360
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",45527982
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",49723977
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Connell Roisin] ",61172957
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Wardlaw Michael] ",72820659
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",75488794
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",67392751
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Wardlaw Michael] ",70737232
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",58969476
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",86428721
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Scott Michelle] ",78464777
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",80952254
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Wardlaw Michael] ",55382543
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",11852540
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Connell Roisin] ",54545585
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",72878644
" Contest:[Private Practice Members Representatives][ Connell Roisin] ",47904043
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",48587842
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Scott Michelle] ",18942746
" Contest:[Private Practice Members Representatives][ Scott Michelle] ",80003610
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Wardlaw Michael] ",44365652
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",34136327
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Wardlaw Michael] ",31630564
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",20612282
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",57743653
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",20166016
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Wardlaw Michael] ",40136784
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Wardlaw Michael] ",96511144
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Wardlaw Michael] ",63133054
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",81231601
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",68185304
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",61077735
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",34048578
" Contest:[Private Practice Members Representatives][ Canney Ciaran] ",74748814
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Hargraves Rebecca] ",52393261
